optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model
BO,kr-vs-kp,binary,logloss,0,120.0,3.592732302347819,3196,74,2,1598,1598,74,0.07797165010700588,0.101533,kr.csv,"LogisticRegression(C=73.86090743948587, max_iter=5000)"
BO,kr-vs-kp,binary,logloss,1,120.0,3.1447115182876586,3196,74,2,1598,1598,74,0.07307497784571292,0.101729,kr.csv,"LogisticRegression(C=77.92098399038179, max_iter=5000)"
BO,kr-vs-kp,binary,logloss,2,120.0,3.0181297103563947,3196,74,2,1598,1598,74,0.0743003780506567,0.101227,kr.csv,"LogisticRegression(C=68.01338959821062, max_iter=5000)"
BO,kr-vs-kp,binary,logloss,3,120.0,3.218427081902822,3196,74,2,1598,1598,74,0.07801227143663782,0.100216,kr.csv,"LogisticRegression(C=48.98771134704292, max_iter=5000)"
BO,kr-vs-kp,binary,logloss,4,120.0,3.173029828071594,3196,74,2,1598,1598,74,0.08018067042473964,0.100399,kr.csv,"LogisticRegression(C=52.544056310488706, max_iter=5000)"
BO,mushroom,binary,logloss,0,120.0,1.964772895971934,8124,125,2,4062,4062,125,0.0002477283285955578,4e-05,mushroom.csv,"LogisticRegression(C=926.393420128211, max_iter=5000)"
BO,mushroom,binary,logloss,1,120.0,1.9776743570963542,8124,125,2,4062,4062,125,0.00023910431061147913,3.8e-05,mushroom.csv,"LogisticRegression(C=999.3963579286084, max_iter=5000)"
BO,mushroom,binary,logloss,2,120.0,1.9309625188509623,8124,125,2,4062,4062,125,0.000692587369491456,3.9e-05,mushroom.csv,"LogisticRegression(C=954.5832763349429, max_iter=5000)"
BO,mushroom,binary,logloss,3,120.0,2.054881258805593,8124,125,2,4062,4062,125,0.00022779336136677028,3.8e-05,mushroom.csv,"LogisticRegression(C=999.8646500816892, max_iter=5000)"
BO,mushroom,binary,logloss,4,120.0,1.9940827409426372,8124,125,2,4062,4062,125,0.00020949420621465542,3.8e-05,mushroom.csv,"LogisticRegression(C=999.2458861052563, max_iter=5000)"
BO,sick,binary,logloss,0,120.0,1.8034254709879558,3772,52,2,1886,1886,52,0.10092114226404714,0.108148,sick.csv,"LogisticRegression(C=0.3282180232585708, max_iter=5000)"
BO,sick,binary,logloss,1,120.0,1.8115681370099386,3772,52,2,1886,1886,52,0.10026664542055186,0.108059,sick.csv,"LogisticRegression(C=0.3740577162421267, max_iter=5000)"
BO,sick,binary,logloss,2,120.0,1.7966310938199361,3772,52,2,1886,1886,52,0.10299500080364513,0.108324,sick.csv,"LogisticRegression(C=0.2816444008724516, max_iter=5000)"
BO,sick,binary,logloss,3,120.0,1.7183481574058532,3772,52,2,1886,1886,52,0.10045157811922223,0.108085,sick.csv,"LogisticRegression(C=0.3572964336129552, max_iter=5000)"
BO,sick,binary,logloss,4,120.0,1.8309604287147523,3772,52,2,1886,1886,52,0.10036781565264477,0.10802,sick.csv,"LogisticRegression(C=0.42284837094567157, max_iter=5000)"
BO,spambase,binary,logloss,0,120.0,1.933262038230896,4601,57,2,2300,2301,57,0.25910562968146705,0.242929,spambase.csv,"LogisticRegression(C=2.2853842035551386, max_iter=5000)"
BO,spambase,binary,logloss,1,120.0,1.6477661967277526,4601,57,2,2300,2301,57,0.26429598566689944,0.226606,spambase.csv,"LogisticRegression(C=0.6178009038324791, max_iter=5000)"
BO,spambase,binary,logloss,2,120.0,1.7972518444061278,4601,57,2,2300,2301,57,0.26741262993341286,0.226299,spambase.csv,"LogisticRegression(C=0.6002115100735682, max_iter=5000)"
BO,spambase,binary,logloss,3,120.0,1.6339543779691061,4601,57,2,2300,2301,57,0.2758697900045239,0.229054,spambase.csv,"LogisticRegression(C=0.1389776776975581, max_iter=5000)"
BO,spambase,binary,logloss,4,120.0,2.116785228252411,4601,57,2,2300,2301,57,0.2530391769315783,0.248186,spambase.csv,"LogisticRegression(C=4.153018911437969, max_iter=5000)"
