optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model,best_feats
SKGENETICSOPT,kr-vs-kp,binary,logloss,0,120.0,17.824689265092214,3196,74,2,1598,1598,42,0.07603563161908981,0.099361,kr.csv,"LogisticRegression(C=73.39885637785207, max_iter=5000)","Index(['bkblk_t', 'bknwy_t', 'bkon8_t', 'bkona_f', 'bkspr_t', 'bkspr_f',
       'bkxbq_t', 'bkxcr_f', 'bkxwp_t', 'blxwp_t', 'bxqsq_t', 'bxqsq_f',
       'cntxt_t', 'dsopp_t', 'dsopp_f', 'hdchk_t', 'katri_b', 'katri_w',
       'mulch_t', 'mulch_f', 'qxmsq_f', 'r2ar8_t', 'rimmx_t', 'rimmx_f',
       'rkxwp_t', 'rxmsq_t', 'skach_t', 'skrxp_t', 'spcop_f', 'thrsk_t',
       'thrsk_f', 'wkcti_t', 'wkcti_f', 'wkna8_t', 'wkna8_f', 'wknck_f',
       'wkovl_t', 'wkpos_t', 'wkpos_f', 'wtoeg_n', 'wtoeg_t', 'wtoeg_f'],
      dtype='object')"
SKGENETICSOPT,kr-vs-kp,binary,logloss,1,120.0,18.0970601717631,3196,74,2,1598,1598,46,0.07176569148715303,0.104297,kr.csv,"LogisticRegression(C=97.95115730233967, max_iter=5000)","Index(['bkblk_t', 'bkblk_f', 'bknwy_t', 'bknwy_f', 'bkon8_t', 'bkon8_f',
       'bkona_t', 'bkspr_t', 'bkspr_f', 'bkxbq_t', 'bkxcr_f', 'bkxwp_f',
       'blxwp_f', 'bxqsq_t', 'cntxt_t', 'dsopp_f', 'dwipd_g', 'dwipd_l',
       'hdchk_t', 'katri_b', 'katri_n', 'mulch_f', 'qxmsq_t', 'qxmsq_f',
       'reskd_t', 'reskr_f', 'rimmx_t', 'rimmx_f', 'rxmsq_f', 'simpl_t',
       'skach_t', 'skach_f', 'skewr_t', 'skrxp_t', 'skrxp_f', 'spcop_f',
       'stlmt_t', 'wkcti_f', 'wkna8_f', 'wknck_f', 'wkovl_t', 'wkovl_f',
       'wkpos_t', 'wkpos_f', 'wtoeg_t', 'wtoeg_f'],
      dtype='object')"
SKGENETICSOPT,kr-vs-kp,binary,logloss,2,120.0,17.46235905090968,3196,74,2,1598,1598,43,0.07229755646119182,0.099364,kr.csv,"LogisticRegression(C=87.30261470183804, max_iter=5000)","Index(['bkblk_t', 'bknwy_t', 'bkon8_f', 'bkona_t', 'bkspr_t', 'bkspr_f',
       'bkxbq_t', 'bkxcr_t', 'bkxwp_f', 'blxwp_f', 'bxqsq_t', 'bxqsq_f',
       'cntxt_t', 'cntxt_f', 'dsopp_f', 'hdchk_t', 'katri_b', 'katri_n',
       'katri_w', 'mulch_t', 'mulch_f', 'qxmsq_t', 'qxmsq_f', 'r2ar8_f',
       'reskd_f', 'reskr_f', 'rimmx_t', 'rimmx_f', 'rkxwp_t', 'rkxwp_f',
       'rxmsq_f', 'skewr_f', 'skrxp_t', 'spcop_t', 'stlmt_f', 'thrsk_f',
       'wkcti_t', 'wkna8_f', 'wknck_t', 'wkovl_t', 'wkovl_f', 'wkpos_t',
       'wkpos_f'],
      dtype='object')"
SKGENETICSOPT,kr-vs-kp,binary,logloss,3,120.0,17.058102130889893,3196,74,2,1598,1598,38,0.07195133549947622,0.102071,kr.csv,"LogisticRegression(C=113.72293729824254, max_iter=5000)","Index(['bkblk_t', 'bkblk_f', 'bknwy_t', 'bkon8_t', 'bkona_t', 'bkspr_t',
       'bkspr_f', 'bkxbq_t', 'blxwp_f', 'bxqsq_t', 'cntxt_t', 'dsopp_t',
       'dsopp_f', 'hdchk_t', 'katri_n', 'katri_w', 'mulch_f', 'qxmsq_t',
       'r2ar8_t', 'r2ar8_f', 'reskr_f', 'rimmx_t', 'rimmx_f', 'rxmsq_f',
       'skach_t', 'skach_f', 'skewr_t', 'skewr_f', 'skrxp_t', 'skrxp_f',
       'spcop_t', 'thrsk_t', 'wkcti_f', 'wkna8_t', 'wknck_t', 'wkovl_t',
       'wkovl_f', 'wkpos_t'],
      dtype='object')"
SKGENETICSOPT,kr-vs-kp,binary,logloss,4,120.0,17.620151499907177,3196,74,2,1598,1598,41,0.0750013261751797,0.10531,kr.csv,"LogisticRegression(C=101.98405514562972, max_iter=5000)","Index(['bkblk_t', 'bkblk_f', 'bknwy_f', 'bkon8_t', 'bkona_t', 'bkspr_t',
       'bkspr_f', 'bkxbq_f', 'bkxcr_t', 'bkxcr_f', 'bkxwp_t', 'bkxwp_f',
       'blxwp_f', 'bxqsq_f', 'dwipd_l', 'hdchk_t', 'katri_b', 'katri_w',
       'mulch_f', 'qxmsq_f', 'reskd_t', 'reskd_f', 'reskr_f', 'rimmx_t',
       'rimmx_f', 'rkxwp_t', 'rxmsq_t', 'rxmsq_f', 'simpl_t', 'simpl_f',
       'skach_t', 'skrxp_f', 'stlmt_f', 'thrsk_f', 'wkna8_f', 'wknck_f',
       'wkovl_t', 'wkovl_f', 'wkpos_t', 'wtoeg_n', 'wtoeg_t'],
      dtype='object')"
SKGENETICSOPT,mushroom,binary,logloss,0,120.0,42.51868560711543,8124,125,2,4062,4062,71,4.0155291418199865e-05,3.6e-05,mushroom.csv,"LogisticRegression(C=1000.0, max_iter=5000)","Index(['cap-surface_s', 'cap-color_b', 'cap-color_e', 'cap-color_g',
       'cap-color_n', 'cap-color_w', 'bruises%3F_f', 'bruises%3F_t', 'odor_a',
       'odor_c', 'odor_f', 'odor_l', 'odor_n', 'odor_p', 'odor_s', 'odor_y',
       'gill-attachment_a', 'gill-attachment_f', 'gill-attachment_n',
       'gill-spacing_w', 'gill-size_b', 'gill-size_n', 'gill-color_b',
       'gill-color_g', 'gill-color_h', 'gill-color_n', 'gill-color_w',
       'stalk-shape_e', 'stalk-root_b', 'stalk-root_c', 'stalk-root_e',
       'stalk-root_z', 'stalk-surface-above-ring_f',
       'stalk-surface-above-ring_k', 'stalk-surface-above-ring_s',
       'stalk-surface-above-ring_y', 'stalk-surface-below-ring_y',
       'stalk-color-above-ring_c', 'stalk-color-above-ring_n',
       'stalk-color-above-ring_o', 'stalk-color-above-ring_p',
       'stalk-color-above-ring_w', 'stalk-color-above-ring_y',
       'stalk-color-below-ring_b', 'stalk-color-below-ring_c',
       'stalk-color-below-ring_e', 'stalk-color-below-ring_g',
       'stalk-color-below-ring_n', 'veil-type_u', 'veil-color_w',
       'veil-color_y', 'ring-type_c', 'ring-type_e', 'ring-type_f',
       'ring-type_p', 'spore-print-color_h', 'spore-print-color_k',
       'spore-print-color_n', 'spore-print-color_r', 'spore-print-color_u',
       'spore-print-color_w', 'spore-print-color_y', 'population_c',
       'population_v', 'population_y', 'habitat_d', 'habitat_g', 'habitat_l',
       'habitat_m', 'habitat_u', 'habitat_w'],
      dtype='object')"
SKGENETICSOPT,mushroom,binary,logloss,1,120.0,37.669368064403535,8124,125,2,4062,4062,69,4.3951320074961144e-05,3.8e-05,mushroom.csv,"LogisticRegression(C=999.9796303836464, max_iter=5000)","Index(['cap-surface_y', 'cap-color_e', 'cap-color_n', 'bruises%3F_f',
       'bruises%3F_t', 'odor_a', 'odor_c', 'odor_f', 'odor_l', 'odor_m',
       'odor_n', 'odor_p', 'odor_s', 'odor_y', 'gill-attachment_a',
       'gill-attachment_d', 'gill-attachment_n', 'gill-spacing_d',
       'gill-spacing_w', 'gill-size_b', 'gill-size_n', 'gill-color_b',
       'gill-color_e', 'gill-color_h', 'gill-color_p', 'gill-color_r',
       'gill-color_w', 'stalk-shape_t', 'stalk-root_e', 'stalk-root_u',
       'stalk-root_z', 'stalk-surface-above-ring_k',
       'stalk-surface-above-ring_s', 'stalk-surface-above-ring_y',
       'stalk-surface-below-ring_f', 'stalk-surface-below-ring_k',
       'stalk-surface-below-ring_y', 'stalk-color-above-ring_b',
       'stalk-color-above-ring_p', 'stalk-color-above-ring_w',
       'stalk-color-above-ring_y', 'stalk-color-below-ring_e',
       'stalk-color-below-ring_g', 'stalk-color-below-ring_n',
       'stalk-color-below-ring_p', 'stalk-color-below-ring_w', 'veil-type_u',
       'veil-color_n', 'veil-color_o', 'ring-number_n', 'ring-number_t',
       'ring-type_e', 'ring-type_f', 'ring-type_n', 'ring-type_p',
       'spore-print-color_b', 'spore-print-color_k', 'spore-print-color_n',
       'spore-print-color_o', 'spore-print-color_r', 'spore-print-color_w',
       'population_a', 'population_c', 'population_n', 'population_y',
       'habitat_m', 'habitat_p', 'habitat_u', 'habitat_w'],
      dtype='object')"
SKGENETICSOPT,mushroom,binary,logloss,2,120.0,37.868616040547685,8124,125,2,4062,4062,68,5.0561402407069966e-05,4.2e-05,mushroom.csv,"LogisticRegression(C=999.7614944424745, max_iter=5000)","Index(['cap-shape_b', 'cap-shape_f', 'cap-shape_s', 'cap-surface_f',
       'cap-surface_s', 'cap-color_g', 'cap-color_n', 'cap-color_p',
       'cap-color_w', 'bruises%3F_f', 'bruises%3F_t', 'odor_a', 'odor_c',
       'odor_f', 'odor_l', 'odor_n', 'odor_p', 'odor_s', 'gill-attachment_n',
       'gill-spacing_c', 'gill-size_b', 'gill-color_b', 'gill-color_e',
       'gill-color_n', 'gill-color_o', 'gill-color_y', 'stalk-shape_t',
       'stalk-root_c', 'stalk-root_e', 'stalk-root_r', 'stalk-root_u',
       'stalk-surface-above-ring_f', 'stalk-surface-above-ring_k',
       'stalk-surface-above-ring_s', 'stalk-surface-above-ring_y',
       'stalk-surface-below-ring_f', 'stalk-surface-below-ring_s',
       'stalk-color-above-ring_b', 'stalk-color-above-ring_e',
       'stalk-color-above-ring_o', 'stalk-color-above-ring_w',
       'stalk-color-above-ring_y', 'stalk-color-below-ring_b',
       'stalk-color-below-ring_e', 'stalk-color-below-ring_g',
       'stalk-color-below-ring_n', 'stalk-color-below-ring_p',
       'stalk-color-below-ring_y', 'veil-type_p', 'veil-color_n',
       'veil-color_y', 'ring-number_n', 'ring-number_o', 'ring-number_t',
       'ring-type_s', 'spore-print-color_n', 'spore-print-color_o',
       'spore-print-color_r', 'spore-print-color_u', 'spore-print-color_w',
       'spore-print-color_y', 'population_c', 'population_y', 'habitat_d',
       'habitat_g', 'habitat_m', 'habitat_p', 'habitat_w'],
      dtype='object')"
SKGENETICSOPT,mushroom,binary,logloss,3,120.0,40.24531531333923,8124,125,2,4062,4062,73,4.406286473391908e-05,4e-05,mushroom.csv,"LogisticRegression(C=999.3284735277844, max_iter=5000)","Index(['cap-shape_b', 'cap-shape_s', 'cap-shape_x', 'cap-color_b',
       'cap-color_g', 'cap-color_n', 'cap-color_p', 'cap-color_u',
       'cap-color_w', 'cap-color_y', 'bruises%3F_f', 'odor_a', 'odor_c',
       'odor_f', 'odor_l', 'odor_m', 'odor_n', 'odor_p', 'odor_y',
       'gill-attachment_f', 'gill-attachment_n', 'gill-spacing_c',
       'gill-spacing_w', 'gill-size_n', 'gill-color_b', 'gill-color_e',
       'gill-color_g', 'gill-color_o', 'gill-color_p', 'gill-color_r',
       'gill-color_u', 'stalk-root_b', 'stalk-root_e', 'stalk-root_r',
       'stalk-root_z', 'stalk-surface-above-ring_k',
       'stalk-surface-below-ring_f', 'stalk-surface-below-ring_k',
       'stalk-surface-below-ring_s', 'stalk-surface-below-ring_y',
       'stalk-color-above-ring_b', 'stalk-color-above-ring_c',
       'stalk-color-above-ring_e', 'stalk-color-above-ring_o',
       'stalk-color-above-ring_w', 'stalk-color-above-ring_y',
       'stalk-color-below-ring_c', 'stalk-color-below-ring_e',
       'stalk-color-below-ring_g', 'stalk-color-below-ring_n',
       'stalk-color-below-ring_y', 'veil-color_n', 'veil-color_w',
       'veil-color_y', 'ring-number_n', 'ring-number_t', 'ring-type_c',
       'ring-type_e', 'ring-type_p', 'ring-type_z', 'spore-print-color_b',
       'spore-print-color_n', 'spore-print-color_o', 'spore-print-color_r',
       'spore-print-color_u', 'spore-print-color_w', 'population_a',
       'population_c', 'habitat_d', 'habitat_g', 'habitat_l', 'habitat_m',
       'habitat_w'],
      dtype='object')"
SKGENETICSOPT,mushroom,binary,logloss,4,120.0,39.05762451489766,8124,125,2,4062,4062,71,4.317527276353904e-05,4e-05,mushroom.csv,"LogisticRegression(C=999.8622368203752, max_iter=5000)","Index(['cap-shape_b', 'cap-shape_c', 'cap-shape_f', 'cap-shape_k',
       'cap-surface_f', 'cap-color_c', 'cap-color_p', 'cap-color_r',
       'cap-color_u', 'cap-color_w', 'bruises%3F_t', 'odor_a', 'odor_c',
       'odor_f', 'odor_l', 'odor_m', 'odor_n', 'odor_p', 'odor_s', 'odor_y',
       'gill-attachment_a', 'gill-attachment_d', 'gill-attachment_f',
       'gill-spacing_c', 'gill-spacing_w', 'gill-size_b', 'gill-color_e',
       'gill-color_k', 'gill-color_r', 'gill-color_w', 'stalk-shape_e',
       'stalk-shape_t', 'stalk-root_b', 'stalk-root_e', 'stalk-root_z',
       'stalk-surface-above-ring_f', 'stalk-surface-above-ring_k',
       'stalk-surface-above-ring_s', 'stalk-surface-below-ring_k',
       'stalk-surface-below-ring_y', 'stalk-color-above-ring_e',
       'stalk-color-above-ring_n', 'stalk-color-above-ring_o',
       'stalk-color-above-ring_y', 'stalk-color-below-ring_b',
       'stalk-color-below-ring_c', 'stalk-color-below-ring_e',
       'stalk-color-below-ring_n', 'stalk-color-below-ring_o', 'veil-type_u',
       'veil-color_n', 'ring-number_n', 'ring-number_t', 'ring-type_f',
       'ring-type_l', 'ring-type_s', 'ring-type_z', 'spore-print-color_k',
       'spore-print-color_n', 'spore-print-color_r', 'spore-print-color_u',
       'spore-print-color_y', 'population_c', 'population_s', 'population_v',
       'habitat_g', 'habitat_l', 'habitat_m', 'habitat_p', 'habitat_u',
       'habitat_w'],
      dtype='object')"
